source,target
13,15
25,99
2,43
42,7
17,47
48,85
76,6
51,14
97,10
16,82
70,46
11,87
81,95
99,47
70,6
64,70
67,39
50,35
83,22
41,26
44,6
34,67
66,84
61,94
8,50
34,93
17,49
66,31
64,94
43,4
88,45
1,63
65,94
53,30
49,93
69,86
22,7
40,23
1,60
4,55
92,36
74,62
68,39
9,29
49,91
99,20
73,38
25,47
72,87
58,36
83,21
88,28
48,92
81,75
43,55
33,15
18,62
56,69
19,61
2,53
69,71
18,47
3,5
89,19
42,22
5,29
9,98
19,55
44,94
73,78
92,85
97,95
26,45
23,15
56,63
44,54
99,79
64,6
35,71
56,10
76,5
65,34
80,52
68,14
35,23
20,79
49,67
24,85
16,88
77,46
2,59
10,76
37,94
60,22
10,21
48,57
56,86
50,13
19,4
56,6
72,82
27,13
42,60
67,93
58,39
50,60
0,84
88,41
10,31
80,43
33,62
90,12
59,28
51,39
96,93
0,98
16,59
53,77
35,86
48,4
81,31
77,70
64,44
54,71
32,27
98,84
19,85
20,62
30,87
40,74
34,37
29,46
80,4
25,38
50,23
27,15
58,37
41,28
18,93
90,38
24,58
20,47
95,31
98,53
43,28
80,28
1,86
98,11
24,89
96,65
65,44
3,29
74,93
49,18
64,55
33,20
68,36
57,52
40,54
69,6
75,7
17,78
2,55
24,36
57,4
91,51
97,21
33,79
56,76
17,38
91,78
9,46
80,41
21,63
3,76
52,4
80,26
66,3
37,61
91,39
73,12
