name,group
YAL001C,0
YAL002W,1
YAL003W,2
YAL004W,3
YAL005C,2
YAL007C,3
YAL009W,3
YAL010C,6
YAL011W,7
YAL012W,0
YAL013W,3
YAL015C,0
YAL016W,10
YAL017W,7
YAL018C,12
YAL019W,11
YAL020C,2
YAL021C,13
YAL022C,13
YAL023C,2
YAL025C,11
YAL026C,1
YAL027W,1
YAL028W,7
YAL029C,2
YAL030W,11
YAL031C,2
YAL033W,11
YAL034W-A,2
YAL035C-A,3
YAL035W,2
YAL036C,3
YAL037W,
YAL038W,11
YAL039C,13
YAL040C,1
YAL041W,12
YAL042W,2
YAL043C,10
YAL044C,12
YAL045C,11
YAL046C,2
YAL049C,1
YAL051W,2
YAL053W,2
YAL054C,2
YAL055W,3
YAL056W,11
YAL059W,2
YAL060W,12
YAL062W,1
YAL063C,12
YAL064W,2
YAL065C,0
YAL067C,5
YAL068C,2
YAR003W,1
YAR007C,
YAR008W,
YAR009C,
YAR010C,
YAR014C,2
YAR015W,11
YAR018C,
YAR019C,2
YAR020C,2
YAR030C,0
YAR031W,12
YAR035W,
YAR044W,1
YAR052C,2
YAR053W,
YAR060C,2
YAR061W,10
YAR064W,11
YAR066W,3
YAR069C,
YAR070C,
YAR071W,10
YAR073W,11
YAR075W,
YBL001C,3
YBL002W,
YBL003C,
YBL004W,0
YBL005W,2
YBL006C,
YBL008W,
YBL009W,
YBL010C,
YBL014C,
YBL015W,
YBL016W,
YBL018C,2
YBL023C,
YBL024W,1
YBL025W,
YBL026W,
YBL027W,
YBL028C,
