source,target
13,15
25,99
42,7
48,85
57,4
97,10
16,82
70,46
11,87
64,70
83,22
17,38
44,6
61,94
8,50
17,49
66,31
64,94
49,18
1,63
53,30
1,60
4,55
92,36
68,39
9,29
99,20
72,87
48,92
81,75
74,62
33,15
18,62
56,69
19,61
2,53
69,71
18,47
3,5
89,19
42,22
9,98
19,55
73,78
97,95
26,45
44,54
64,6
35,71
76,5
80,52
68,14
18,93
20,79
24,85
16,88
41,26
10,76
65,94
48,57
56,86
49,67
72,82
27,13
58,39
50,60
0,84
54,71
80,43
33,62
90,12
51,39
96,93
16,59
53,77
91,78
99,47
81,31
77,70
32,27
98,84
83,21
30,87
40,74
34,37
25,38
96,65
41,28
90,38
24,58
95,31
43,28
1,86
98,11
24,89
65,44
3,29
74,93
64,55
33,20
68,36
57,52
40,54
69,6
75,7
17,78
35,23
34,67
91,51
97,21
88,41
9,46
21,63
66,3
37,61
73,12
