name,group
YAL001C,0
YAL002W,1
YAL003W,2
YAL004W,3
YAL005C,4
YAL007C,3
YAL009W,5
YAL010C,6
YAL011W,7
YAL012W,3
YAL013W,3
YAL015C,3
YAL016W,9
YAL017W,10
YAL018C,11
YAL019W,10
YAL020C,12
YAL021C,13
YAL022C,13
YAL023C,4
YAL025C,10
YAL026C,1
YAL027W,1
YAL028W,15
YAL029C,4
YAL030W,10
YAL031C,17
YAL033W,10
YAL034W-A,17
YAL035C-A,
YAL035W,2
YAL036C,3
YAL037W,
YAL038W,10
YAL039C,18
YAL040C,15
YAL041W,11
YAL042W,4
YAL043C,9
YAL044C,11
YAL045C,20
YAL046C,12
YAL049C,
YAL051W,17
YAL053W,5
YAL054C,
YAL055W,3
YAL056W,10
YAL059W,4
YAL060W,13
YAL062W,1
YAL063C,19
YAL064W,4
YAL065C,2
YAL067C,5
YAL068C,4
YAR003W,1
YAR007C,
YAR008W,
YAR009C,
YAR010C,
YAR014C,4
YAR015W,10
YAR018C,
YAR019C,3
YAR020C,3
YAR030C,
YAR031W,
YAR035W,
YAR044W,5
YAR052C,2
YAR053W,
YAR060C,2
YAR061W,9
YAR064W,10
YAR066W,3
YAR069C,
YAR070C,
YAR071W,9
YAR073W,
YAR075W,
YBL001C,
YBL002W,
YBL003C,
YBL004W,0
YBL005W,
YBL006C,
YBL008W,
YBL009W,
YBL010C,
YBL014C,
YBL015W,
YBL016W,
YBL018C,3
YBL023C,
YBL024W,1
YBL025W,
YBL026W,
YBL027W,
YBL028C,
