source,target
718,1695
309,1279
897,2053
117,2213
954,2015
593,2682
97,108
2231,551
161,1753
378,767
1586,2317
1412,549
1225,1491
1212,2405
2187,140
273,1077
2534,2119
1229,223
890,2404
2761,709
1305,516
37,2045
457,1199
1200,1391
905,2061
256,2619
473,2187
299,2111
2561,575
457,2639
2445,1750
2099,1319
297,697
3,60
1057,530
424,901
2519,575
2375,1199
218,1719
933,1583
442,1267
2458,1094
2729,1061
568,213
59,1461
2088,2151
1298,1850
2421,751
2880,414
1992,811
2330,1276
1946,2479
1780,486
1812,508
1129,1026
2571,2181
1721,1750
2076,620
2354,2638
1361,246
51,1181
1373,1461
0,1764
420,1343
2065,2539
411,461
1561,654
584,1809
1323,2100
161,148
969,879
1460,2103
2731,269
265,354
1710,1847
2513,975
1880,2390
727,711
1632,949
1922,2055
2181,798
1080,1181
313,2001
2144,2132
180,206
1978,542
2321,2452
794,741
2869,1230
942,399
606,1047
1593,1879
1547,871
1010,635
457,2097
701,1077
29,1623
480,1663
2160,2015
1400,331
491,1750
496,751
308,118
2224,1102
2584,769
2123,2093
848,875
1459,12
786,676
400,1213
234,1558
2525,343
1697,1645
2434,535
2629,495
984,2308
24,917
1057,583
1481,1993
754,1306
2563,2693
1651,1983
2336,85
2441,2740
2299,1830
2670,102
37,190
613,591
595,367
878,543
396,1030
2066,731
1964,1815
1866,1148
2112,1058
2355,294
1805,1934
936,2475
1625,2499
2586,1213
1569,637
925,2293
1849,667
667,692
329,535
2817,373
2648,422
609,2060
824,1846
1795,1983
1354,415
833,890
154,2070
2388,70
907,1316
347,1111
2753,2495
2394,2838
918,422
2081,2334
2652,2316
482,2811
1123,2805
2200,1577
985,1022
636,502
256,901
285,2733
1293,2535
1774,71
1057,1769
1944,2237
1579,1043
72,1721
803,1605
306,1309
266,1231
1537,606
1682,2629
1619,278
2820,2231
488,824
2088,325
2835,1229
2356,823
792,637
1377,2694
2688,1228
560,1483
2427,2285
2147,1028
1128,293
616,1184
366,2703
