name,group
YAL001C,0
YAL002W,1
YAL003W,2
YAL004W,3
YAL005C,3
YAL007C,4
YAL009W,5
YAL010C,6
YAL011W,7
YAL012W,8
YAL013W,7
YAL015C,9
YAL016W,10
YAL017W,11
YAL018C,12
YAL019W,13
YAL020C,14
YAL021C,15
YAL022C,16
YAL023C,4
YAL025C,17
YAL026C,10
YAL027W,6
YAL028W,18
YAL029C,19
YAL030W,20
YAL031C,21
YAL033W,22
YAL034W-A,4
YAL035C-A,23
YAL035W,17
YAL036C,9
YAL037W,24
YAL038W,25
YAL039C,26
YAL040C,20
YAL041W,6
YAL042W,22
YAL043C,27
YAL044C,28
YAL045C,29
YAL046C,9
YAL049C,30
YAL051W,31
YAL053W,32
YAL054C,33
YAL055W,34
YAL056W,35
YAL059W,17
YAL060W,21
YAL062W,36
YAL063C,37
YAL064W,38
YAL065C,39
YAL067C,40
YAL068C,41
YAR003W,42
YAR007C,43
YAR008W,44
YAR009C,25
YAR010C,45
YAR014C,13
YAR015W,46
YAR018C,47
YAR019C,48
YAR020C,49
YAR030C,50
YAR031W,51
YAR035W,52
YAR044W,15
YAR052C,53
YAR053W,54
YAR060C,55
YAR061W,56
YAR064W,57
YAR066W,58
YAR069C,59
YAR070C,60
YAR071W,61
YAR073W,17
YAR075W,62
YBL001C,3
YBL002W,63
YBL003C,63
YBL004W,64
YBL005W,65
YBL006C,7
YBL008W,66
YBL009W,67
YBL010C,68
YBL014C,69
YBL015W,70
YBL016W,71
YBL018C,72
YBL023C,73
YBL024W,17
YBL025W,74
YBL026W,75
YBL027W,25
YBL028C,76
YBL030C,77
YBL031W,78
YBL032W,79
YBL034C,80
YBL035C,81
YBL036C,17
YBL037W,82
YBL038W,83
YBL039C,84
YBL040C,85
YBL041W,86
YBL042C,6
YBL043W,87
YBL046W,80
YBL048W,88
YBL049W,89
YBL050W,83
YBL052C,79
YBL053W,90
YBL054W,72
YBL056W,35
YBL057C,22
YBL061C,17
YBL062W,85
YBL063W,91
YBL064C,92
YBL065W,93
YBL066C,94
YBL068W,41
YBL069W,95
YBL071C,96
YBL072C,97
YBL075C,37
YBL076C,98
YBL077W,20
YBL078C,21
YBL079W,99
YBL080C,100
YBL081W,101
YBL083C,102
YBL084C,103
YBL087C,97
