source,target
216,1415
1504,1454
2105,2701
646,855
2514,2118
2501,935
1986,2042
280,141
1748,2142
584,1112
2832,753
685,2310
353,2269
2041,1743
2459,2220
649,346
2769,2517
2504,2526
2233,2873
923,1829
1426,1391
2032,2106
1705,1910
1596,638
1238,190
1306,1230
716,829
1726,1871
640,795
2104,2080
1189,1446
2443,135
2749,2031
2176,2365
2508,910
276,2428
626,543
2780,2246
624,2582
2105,2194
344,1443
2776,2150
563,2396
2145,932
20,30
2105,2805
2336,162
1725,894
2393,2126
2248,2602
2851,1422
1540,541
267,2141
2860,548
1118,607
2330,2510
803,839
2824,1782
1914,1733
312,405
2344,591
2771,2533
148,981
389,2567
2060,2502
1127,407
2,244
480,2472
576,585
1722,931
2094,2030
704,685
225,343
815,831
955,1404
1826,2814
682,267
449,2831
2203,1103
1075,2148
1949,2062
800,819
1138,2340
885,734
1169,1276
1763,990
60,166
1052,1692
2403,2509
1258,1191
1881,891
1694,687
1260,1212
1747,2023
1489,1879
2065,2130
2085,1183
2762,2611
788,686
268,44
906,1085
1257,2835
1568,1455
2745,2804
388,349
2339,2687
2211,2462
250,434
1561,1069
2488,2621
2417,2373
600,1944
707,1966
1769,1550
826,644
2192,2458
650,757
125,358
1888,1469
980,87
555,1588
2178,1789
2680,2718
2152,1956
1729,950
2642,1292
829,2350
1474,1935
1393,2650
752,653
2641,2838
1313,1547
950,1023
2288,1067
2210,2394
908,965
642,323
1090,1506
2572,149
106,254
1514,1791
1754,1662
2436,2437
157,470
1576,1557
2684,1589
1057,1058
2674,2333
267,2860
1417,1220
152,385
2345,2491
1739,1494
2501,1447
331,147
2172,1845
2657,2303
2620,1925
1451,2100
1673,188
2771,2358
865,772
524,1158
1558,1510
1345,426
2024,1615
2368,2517
19,5
1134,1006
452,375
271,231
120,47
2484,2302
962,2327
2264,2519
2043,2175
259,1885
2664,796
2616,2050
1045,2613
2678,479
1232,235
41,11
1712,1146
752,692
1666,1911
2613,2703
434,373
2252,1269
2748,1591
2659,2339
393,147
1396,2822
273,2809
2002,2148
1125,1198
747,559
472,161
1456,2590
208,1732
2842,2787
1840,1747
956,1453
289,218
1737,2207
1688,1959
430,607
2762,2518
2520,502
1115,71
2585,582
1921,2433
1336,2558
781,711
2326,2743
2132,2053
2505,2507
1562,2779
2435,2397
2242,118
1881,1340
459,295
489,585
377,2254
1121,1451
259,667
2184,1026
1348,1007
13,319
1651,39
2043,2535
1929,1398
1859,1966
1544,2650
952,914
2696,2275
688,635
2597,2598
202,1523
1736,1721
2393,2450
2732,2733
1504,1467
1786,1700
1136,2400
2514,1028
474,635
2482,2114
1174,414
443,228
1872,708
1034,1930
2852,2870
2629,1551
613,622
603,2463
313,481
1294,1103
296,1298
25,35
1303,1055
433,949
1193,2610
899,823
2193,2039
1128,1955
2362,2247
29,30
756,558
2164,1679
1338,1451
256,251
1941,1886
1466,276
3,1852
363,459
1940,533
1611,1477
1976,1635
336,265
1704,1462
1629,1805
116,238
2020,1687
2457,1411
1905,1383
305,259
1499,1805
608,790
2273,2346
1008,2386
515,1131
1654,1623
892,366
2456,2257
56,1039
2027,2367
1040,1039
1056,2024
1636,1854
848,799
2642,2635
281,1322
2360,2165
1992,1507
1113,2253
2625,1244
764,629
2659,2252
2762,2325
978,2755
1952,1576
1075,1318
1409,1330
1168,625
221,159
265,514
2208,2316
553,2180
1226,1204
50,2380
1202,718
1504,1538
1138,1030
2196,2255
2754,2643
562,2604
75,1863
1840,1891
2720,2766
1420,287
330,610
2116,1655
2210,2429
1872,2038
1749,1998
505,1876
1579,2101
880,2664
2602,1351
1360,1882
2376,2217
2329,2434
1064,1027
750,879
1608,2647
1440,1389
49,135
1640,2079
1707,1575
1409,1380
2684,903
1632,1008
2213,1311
2182,1743
538,557
127,1151
2319,2407
2409,306
2552,2553
560,678
1048,919
2294,239
2707,1613
2421,2389
850,887
2865,219
1027,1068
690,1439
657,526
1668,1973
1146,236
176,556
1741,1742
2625,2775
729,460
919,927
121,27
1924,1806
418,434
1184,523
805,550
1701,1631
1769,1929
2457,2446
763,620
448,2034
312,331
2506,1242
1850,1415
602,596
136,476
2721,2292
1699,1677
2137,702
2130,2092
2121,1581
1784,2472
1684,581
232,39
2641,2397
1724,1022
2297,2849
1089,2862
2245,2639
2472,1975
2500,1671
2453,541
104,2776
629,679
259,1884
1456,1607
2347,2615
1427,837
257,142
1967,1647
1555,1878
1273,1287
1434,810
1388,2637
729,659
2178,2115
1556,1815
2268,2196
747,628
1227,247
862,1023
1881,439
755,318
464,444
344,2307
1973,1599
20,95
310,70
937,1266
105,30
350,1366
40,303
2299,2343
409,2046
1597,2062
1481,301
2691,2366
1224,2159
2008,2616
2688,2699
1021,1183
34,270
2568,496
2763,861
2134,998
1240,2805
1044,1207
2137,2714
1162,308
2226,2318
417,2700
16,1534
2304,2644
2075,2107
658,885
289,1114
770,2515
805,2878
2154,2563
1905,1901
0,1104
824,855
488,490
2012,1964
1553,1235
1411,2063
2398,479
116,110
2345,2435
586,1926
1880,2021
316,580
1618,2870
188,189
240,2555
889,811
196,197
193,2877
2250,532
1778,1595
2250,597
2448,2432
1731,612
73,143
384,346
249,486
2048,929
296,1102
2648,171
1484,1502
739,607
782,1278
177,2114
1139,2451
1523,1853
1544,1346
2060,2039
2840,2764
892,311
2163,183
1320,1013
1707,1525
881,882
2650,684
1646,2567
400,446
1675,2004
2704,2495
1259,1343
1153,1235
1264,1813
831,2127
10,86
778,829
1328,1337
2306,342
456,857
1937,1318
2076,582
938,931
1458,551
1288,470
1602,1733
1966,550
1203,2668
2098,2054
1280,987
2492,2404
2739,2575
306,442
1088,1161
2554,2228
296,633
933,2631
611,519
657,614
107,179
832,574
1560,2738
1875,2151
201,507
1740,54
1844,934
410,1282
1672,1545
2634,1035
2275,2646
2715,1117
2771,2494
2320,1590
794,710
2720,2631
2627,2556
2016,1953
1152,818
1582,1503
1120,266
2049,2380
2587,2462
624,1081
649,1277
2665,2710
1696,2063
2374,2511
403,2173
2698,2618
740,757
61,15
1168,2110
1233,1535
1827,1828
717,2470
1353,2318
2138,2498
2824,1309
1433,118
2018,2162
2412,1444
16,985
2371,2447
2825,246
2218,332
1883,1327
785,460
2515,1405
1974,1870
172,869
1861,1574
1224,1213
354,1404
2102,2271
1719,1231
2291,390
2573,45
1689,1746
88,512
2386,652
176,163
827,838
1472,1611
1414,942
851,2694
1137,930
298,293
2818,2549
1953,2045
2608,2525
1096,2640
2476,2213
456,2068
379,1523
2496,2393
2260,2645
1672,1522
2461,317
2872,2771
2776,525
1384,833
149,2669
45,302
1914,2111
497,876
1841,1895
1394,1487
1488,483
136,233
2050,798
718,518
323,995
2467,916
1857,1372
352,2183
2538,1047
939,2134
404,278
2109,2221
1025,899
2235,1892
643,430
1864,577
465,2613
1816,663
2876,1278
2017,1812
2017,1626
1105,1068
1692,1109
1641,1611
637,430
1266,54
1176,941
606,1422
1496,1316
200,2481
459,173
2365,2326
1115,2351
2314,327
1880,1995
986,455
2379,2789
2201,2445
1619,2213
1018,1186
1129,1163
2715,343
2553,2796
889,787
1890,1413
1033,767
789,661
2713,1406
1291,1997
2248,2200
276,2245
1401,1333
609,1735
2600,2880
752,542
2312,2418
256,99
1651,1278
1265,458
1029,2365
150,46
1256,2540
1984,821
2403,2757
1108,2047
2457,1781
2500,199
1327,2167
2512,1669
1353,2791
1701,1799
1670,2399
2875,2556
2598,263
1856,2122
795,2443
155,156
2652,788
2554,2670
368,913
2237,118
2128,2077
2499,2317
1539,1499
802,508
1523,1038
241,147
1840,364
1193,499
2601,260
2153,1951
2478,2102
1,563
2521,2518
877,807
984,1377
425,317
2256,2257
598,695
1176,1290
1977,2097
1890,1559
2017,2442
377,981
832,77
1120,296
1386,1847
1765,2303
1865,1866
1001,2060
361,501
1160,182
2531,2661
2252,2199
456,2776
1065,1419
1483,2405
2205,2589
950,1223
2818,2525
1730,626
1996,1357
51,1831
466,467
699,789
321,313
2064,153
1128,1519
2466,379
619,2483
1898,1046
2275,2847
168,73
2448,1243
1520,1566
48,20
2052,1671
2800,2614
1811,111
2803,1301
2380,1037
1745,1658
1985,685
2258,2197
1355,1406
2658,2850
469,1751
1690,1099
195,196
2080,2090
32,1853
1400,1210
648,209
529,34
2369,1157
45,303
888,2445
1848,1574
1188,2389
2075,2149
1656,1900
2033,1521
1315,1230
792,677
801,1289
953,714
2840,1166
1436,2206
810,1826
1584,601
2632,1532
2061,2319
654,223
2497,2775
2841,1758
1698,2239
731,852
406,2199
1827,2565
1335,1095
945,1345
216,615
2744,2402
1435,1527
1208,369
497,662
1760,1486
539,807
2624,2042
713,809
1497,1507
1061,2575
1989,1798
1224,2252
1838,2151
1810,1767
1940,2126
1651,1079
2382,2295
1843,1771
537,1258
2426,663
2094,2014
1562,1516
120,117
1112,1299
1707,1662
946,1554
1248,2503
296,2272
1914,1980
1867,2069
2124,1943
92,204
1776,1069
1996,639
968,943
1688,1772
2874,335
2280,1582
681,732
424,730
664,621
307,1172
2731,2469
1307,1156
1089,1839
608,864
2356,2599
2610,540
1768,926
2867,775
104,1167
484,478
772,727
1450,2706
1057,1011
2003,28
1027,927
2192,1817
1825,1549
462,583
538,237
2099,1691
1592,1633
1269,894
2723,2276
889,1279
1826,1814
2475,2214
1795,1685
1688,1595
2164,2103
1491,2167
840,726
120,242
2577,2518
2499,459
620,1260
2609,2349
793,2737
1240,1190
1609,442
121,93
2665,2812
1356,1367
2858,587
1141,1174
1203,1286
2081,619
51,132
1242,222
1410,2571
961,447
1594,2282
1296,1041
139,2479
2584,2362
1505,1493
2036,902
2008,279
851,852
2809,2230
2746,2828
816,783
2410,2251
2059,677
875,835
417,2650
1073,1228
2074,1245
1107,1141
1952,1425
1617,2813
1118,854
1681,2705
2849,2315
2454,159
76,158
1376,536
2083,2054
1402,1156
409,2301
1476,1652
1944,23
1553,1437
252,958
92,229
8,10
2741,2391
2514,2427
827,787
1236,461
1370,2355
72,504
1091,1143
2833,2593
1500,1797
1106,1396
378,994
2275,2212
1793,1183
809,2630
859,843
476,413
1697,507
1961,433
2866,828
922,2165
883,830
1021,2367
1451,398
2145,535
721,549
960,2778
2059,1596
168,1249
1013,2783
1004,1302
849,821
409,287
200,2723
620,1397
2848,1301
668,486
2217,2331
153,2014
645,646
576,534
1182,1774
2674,1948
947,524
793,604
1899,2598
456,1271
41,31
539,227
1762,1542
1684,926
1490,1090
1968,632
2284,2741
1325,141
1605,1662
74,155
84,2438
1010,1196
2179,2021
226,2391
2877,6
1641,1925
691,812
457,475
176,391
1460,1582
328,2131
530,1135
1449,1498
1305,578
1547,2277
1152,1577
2798,1711
80,593
2101,1998
2016,2028
2752,2765
1642,1389
2042,247
748,749
1760,1759
2546,2746
2070,1991
2064,1329
1171,1085
65,98
2098,2139
1429,1445
192,159
9,239
1346,1221
1771,1815
1514,1939
2548,2516
872,537
552,474
1426,847
2051,2174
2016,2335
2609,2588
456,1482
2570,2714
1625,1195
505,13
1625,1244
1879,2007
2089,755
1634,1429
107,238
1716,1775
2362,2322
944,2649
955,1796
408,994
1938,1869
416,417
473,2415
1217,893
2697,2787
2859,975
978,917
357,255
2077,2846
284,134
768,1465
2192,183
933,2414
1332,1399
826,2708
908,950
2476,1996
1180,461
2586,2390
58,1021
1017,2109
722,1506
2308,501
1104,2541
2618,2602
2674,2810
2581,2246
25,284
432,2705
2249,2746
111,7
181,159
2242,2219
779,1341
1424,2147
2003,1358
642,956
1603,1687
2289,2268
401,1462
2344,177
210,2162
264,185
993,1302
1458,175
2813,1070
475,2638
569,457
2388,2469
2290,2307
1605,2166
684,1526
394,709
2563,2286
977,970
419,2284
2811,2797
1052,1501
1762,124
1608,234
1825,1638
2392,1019
1636,2661
2593,2717
169,255
1218,540
1610,1827
2209,159
1098,1173
1286,1014
2144,2550
2464,1833
1449,1531
2594,2210
1096,921
940,62
2789,2287
2499,895
1259,1181
200,1051
1072,332
277,399
324,133
2754,1222
2450,2685
1962,2010
2119,1567
2377,2250
57,525
2736,865
480,140
2660,1116
160,293
1395,1141
2154,1999
592,966
9,178
369,316
1757,1494
594,2354
1091,2190
733,718
515,723
1655,367
1331,422
113,261
1713,820
2426,191
429,2613
1281,1807
1268,871
890,909
989,959
997,295
1537,1661
910,2422
1515,2727
1770,579
2131,2485
825,2473
1480,1481
2536,1834
2483,870
340,367
1886,1927
1586,1829
506,708
1611,1476
329,2413
424,285
275,405
104,507
2091,1974
2274,2612
1050,1037
1386,162
1849,1579
1801,1933
2122,2019
2675,2365
2108,1973
2717,2366
920,2285
2160,370
1743,1495
442,2567
22,7
2328,1390
2034,2341
2224,2223
1869,1918
1955,518
1665,479
2809,2227
1722,1702
985,1082
1648,1585
2840,1342
2567,1887
482,255
1136,1262
2229,2518
563,2767
1521,2708
98,274
2026,2027
1611,1797
1144,2465
1728,896
568,180
1762,2389
1134,822
521,1283
2810,2726
18,2035
664,794
1496,1837
2632,115
1122,1340
2276,846
2144,2419
1389,1718
288,386
161,198
219,78
589,590
1946,2191
2750,2719
2128,1954
2113,2082
2488,2273
2192,2038
2430,2423
2494,1622
1872,1031
2837,2286
1824,1856
1044,759
2712,2829
673,809
248,2684
1784,1970
901,2581
2520,1612
1073,1659
1187,1159
836,823
1852,4
848,1140
1132,1063
2329,2527
1709,1909
304,55
2240,2241
491,2559
1009,2467
1721,1769
1024,2045
1528,1224
808,2234
904,2086
2202,558
2808,2299
2645,2695
2545,2692
1186,341
2206,422
1897,1178
723,1173
1981,1549
1332,1253
2291,582
2384,135
1708,1565
2272,609
665,212
2417,1318
2691,1844
2540,2647
2676,415
1274,1094
1737,2740
656,2552
842,836
2802,2795
138,2117
2745,2789
1513,2317
1468,309
674,1101
2133,2143
