name,group
YAL001C,0
YAL002W,1
YAL003W,2
YAL004W,3
YAL005C,3
YAL007C,5
YAL009W,6
YAL010C,1
YAL011W,7
YAL012W,7
YAL013W,7
YAL015C,1
YAL016W,9
YAL017W,0
YAL018C,11
YAL019W,8
YAL020C,3
YAL021C,12
YAL022C,13
YAL023C,5
YAL025C,5
YAL026C,9
YAL027W,1
YAL028W,1
YAL029C,7
YAL030W,15
YAL031C,1
YAL033W,1
YAL034W-A,5
YAL035C-A,5
YAL035W,5
YAL036C,1
YAL037W,16
YAL038W,17
YAL039C,1
YAL040C,2
YAL041W,1
YAL042W,8
YAL043C,1
YAL044C,19
YAL045C,7
YAL046C,7
YAL049C,20
YAL051W,1
YAL053W,7
YAL054C,1
YAL055W,1
YAL056W,1
YAL059W,5
YAL060W,15
YAL062W,24
YAL063C,16
YAL064W,25
YAL065C,
YAL067C,26
YAL068C,8
YAR003W,27
YAR007C,28
YAR008W,28
YAR009C,17
YAR010C,3
YAR014C,7
YAR015W,29
YAR018C,7
YAR019C,10
YAR020C,8
YAR030C,29
YAR031W,12
YAR035W,22
YAR044W,1
YAR052C,12
YAR053W,32
YAR060C,33
YAR061W,1
YAR064W,6
YAR066W,6
YAR069C,12
YAR070C,8
YAR071W,34
YAR073W,5
YAR075W,5
YBL001C,4
YBL002W,35
YBL003C,35
YBL004W,5
YBL005W,4
YBL006C,7
YBL008W,1
YBL009W,12
YBL010C,37
YBL014C,29
YBL015W,39
YBL016W,1
YBL018C,8
YBL023C,40
YBL024W,5
YBL025W,1
YBL026W,1
YBL027W,17
YBL028C,7
YBL030C,19
YBL031W,1
YBL032W,7
YBL034C,36
YBL035C,37
YBL036C,5
YBL037W,1
YBL038W,10
YBL039C,7
YBL040C,1
YBL041W,1
YBL042C,1
YBL043W,46
YBL046W,5
YBL048W,47
YBL049W,4
YBL050W,6
YBL052C,1
YBL053W,6
YBL054W,8
YBL056W,1
YBL057C,8
YBL061C,1
YBL062W,6
YBL063W,1
YBL064C,7
YBL065W,23
YBL066C,49
YBL068W,4
YBL069W,1
YBL071C,50
YBL072C,2
YBL075C,1
YBL076C,5
YBL077W,5
YBL078C,15
YBL079W,7
YBL080C,1
YBL081W,29
YBL083C,5
YBL084C,52
YBL087C,2
